日期,收盘价,成交量,成交额,日收益率,换手率,数据源,20日成交量活跃度代理,date,amount_100m,market_amount_100m,amount_share_of_a
2026-07-07,1385.4100000000,35585777.0000000000,81922198372.0000000000,-0.0398000000,0.0236000000,东方财富创新药BK1106历史K线直连,1.1769017628,2026-07-07,819.2219837200,25647.7248213800,0.0319413121
2026-07-08,1365.8300000000,33420538.0000000000,68696772644.0000000000,-0.0141000000,0.0222000000,东方财富创新药BK1106历史K线直连,1.0796452338,2026-07-08,686.9677264400,25485.5888821400,0.0269551443
2026-07-09,1366.3100000000,35541431.0000000000,70649591996.0000000000,0.0004000000,0.0236000000,东方财富创新药BK1106历史K线直连,1.1191312586,2026-07-09,706.4959199600,28955.0378801800,0.0243997581
2026-07-10,1410.6400000000,43262637.0000000000,91350342570.0000000000,0.0324000000,0.0287000000,东方财富创新药BK1106历史K线直连,1.3130815028,2026-07-10,913.5034257000,33641.3491069200,0.0271541852
2026-07-13,1406.1100000000,45456202.0000000000,85852289182.0000000000,-0.0032000000,0.0302000000,东方财富创新药BK1106历史K线直连,1.3395468609,2026-07-13,858.5228918200,28010.0632438300,0.0306505160
2026-07-14,1441.4800000000,49743279.0000000000,92000893071.0000000000,0.0252000000,0.0330000000,东方财富创新药BK1106历史K线直连,1.4084939125,2026-07-14,920.0089307100,26886.7110108700,0.0342179797
2026-07-15,1501.9500000000,62962274.0000000000,141889356618.0000000000,0.0419000000,0.0418000000,东方财富创新药BK1106历史K线直连,1.6787437487,2026-07-15,1418.8935661800,25558.5357395800,0.0555154482
2026-07-16,1514.8400000000,63677975.0000000000,133210026171.0000000000,0.0086000000,0.0423000000,东方财富创新药BK1106历史K线直连,1.6011483828,2026-07-16,1332.1002617100,23894.5852803900,0.0557490430
2026-07-17,1405.4300000000,68185811.0000000000,116978609502.0000000000,-0.0722000000,0.0453000000,东方财富创新药BK1106历史K线直连,1.6228424005,2026-07-17,1169.7860950200,26391.0023356400,0.0443251863
2026-07-20,1413.3300000000,59825236.0000000000,102904049680.0000000000,0.0056000000,0.0397000000,东方财富创新药BK1106历史K线直连,1.3718285833,2026-07-20,1029.0404968000,26872.2298789600,0.0382938261
2026-07-21,1400.1900000000,54668763.0000000000,98010530801.0000000000,-0.0093000000,0.0363000000,东方财富创新药BK1106历史K线直连,1.2228474198,2026-07-21,980.1053080100,29408.8472976500,0.0333268862
2026-07-22,1403.6900000000,49685585.0000000000,90376294841.0000000000,0.0025000000,0.0330000000,东方财富创新药BK1106历史K线直连,1.0918426957,2026-07-22,903.7629484100,26415.7492249300,0.0342130348
2026-07-23,1401.6700000000,42679821.0000000000,73104132977.0000000000,-0.0014000000,0.0283000000,东方财富创新药BK1106历史K线直连,0.9260444098,2026-07-23,731.0413297700,21840.2787357300,0.0334721612
